0,"0.023*""door"" + 0.017*""wood"" + 0.015*""shelf"" + 0.015*""top"" + 0.015*""chair"" + 0.014*""black"" + 0.014*""would"" + 0.014*""side"" + 0.012*""rack"" + 0.012*""one"""
1,"0.075*""color"" + 0.067*""sound"" + 0.052*""light"" + 0.036*""loud"" + 0.032*""bed"" + 0.030*""noise"" + 0.028*""scale"" + 0.026*""night"" + 0.024*""sleep"" + 0.023*""make"""
2,"0.290*""work"" + 0.047*""well"" + 0.028*""stop"" + 0.025*""great"" + 0.024*""bottle"" + 0.022*""fine"" + 0.021*""button"" + 0.018*""foam"" + 0.016*""mug"" + 0.014*""would"""
3,"0.063*""small"" + 0.054*""size"" + 0.046*""fit"" + 0.037*""picture"" + 0.025*""large"" + 0.020*""inch"" + 0.020*""description"" + 0.016*""big"" + 0.016*""pillow"" + 0.015*""show"""
4,"0.089*""pan"" + 0.071*""stick"" + 0.056*""use"" + 0.031*""stainless"" + 0.030*""steel"" + 0.028*""non"" + 0.023*""coat"" + 0.022*""oil"" + 0.022*""cook"" + 0.020*""surface"""
5,"0.294*""star"" + 0.279*""one"" + 0.186*""two"" + 0.022*""give"" + 0.019*""small"" + 0.012*""come"" + 0.011*""zero"" + 0.010*""rating"" + 0.009*""return"" + 0.009*""comfortable"""
6,"0.108*""one"" + 0.089*""year"" + 0.060*""old"" + 0.051*""buy"" + 0.043*""new"" + 0.036*""love"" + 0.023*""replace"" + 0.022*""model"" + 0.022*""last"" + 0.019*""another"""
7,"0.035*""unit"" + 0.024*""review"" + 0.021*""product"" + 0.018*""problem"" + 0.014*""purchase"" + 0.012*""read"" + 0.010*""would"" + 0.009*""cuisinart"" + 0.008*""find"" + 0.008*""many"""
8,"0.046*""use"" + 0.033*""get"" + 0.032*""food"" + 0.031*""hard"" + 0.029*""pepper"" + 0.018*""try"" + 0.017*""time"" + 0.015*""make"" + 0.014*""good"" + 0.013*""would"""
9,"0.048*""cooker"" + 0.045*""paper"" + 0.039*""cook"" + 0.039*""rice"" + 0.033*""instruction"" + 0.029*""follow"" + 0.029*""direction"" + 0.028*""egg"" + 0.024*""pressure"" + 0.021*""brown"""
